rank,training_scenario,model,model_file,total_correct,accuracy,legit_correct,legit_false_positives,phishing_correct,phishing_false_negatives,google_no_slash_prediction,google_slash_prediction,openai_research_prediction,false_positive_urls,false_negative_count
16,main_baseline_phiusiil,Decision Tree,machine_learning/trained_models/1a_train_on_main_test_on_main/decision_tree_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
17,main_baseline_phiusiil,Linear SVM,machine_learning/trained_models/1a_train_on_main_test_on_main/linear_svm_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
18,main_baseline_phiusiil,Logistic Regression,machine_learning/trained_models/1a_train_on_main_test_on_main/logistic_regression_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
19,main_baseline_phiusiil,Random Forest,machine_learning/trained_models/1a_train_on_main_test_on_main/random_forest_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
20,main_baseline_phiusiil,XGBoost,machine_learning/trained_models/1a_train_on_main_test_on_main/xgboost_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
21,phiusiil_main,Decision Tree,machine_learning/trained_models/2_cross_dataset_generalisation/decision_tree_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
22,phiusiil_main,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
23,phiusiil_main,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
24,phiusiil_main,Random Forest,machine_learning/trained_models/2_cross_dataset_generalisation/random_forest_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
25,phiusiil_main,XGBoost,machine_learning/trained_models/2_cross_dataset_generalisation/xgboost_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,0
